title,amount,category,expense_date,payment_method,description
Monthly Apartment Rent,22000.00,Rent,2026-08-01,Bank Transfer,Flat rental
Supermarket Monthly Run,5600.00,Groceries,2026-08-03,Credit Card,Monthly grocery haul
Electricity Bill,2900.00,Utilities,2026-08-05,UPI,Utility bill
High Speed Fiber,1299.00,Bills,2026-08-06,Credit Card,Airtel broadband
Long Weekend Road Trip Fuel,4200.00,Travel,2026-08-15,Debit Card,Independence Day road trip
Highway Restaurant Lunches,2750.00,Food,2026-08-16,UPI,Road trip meals
Mid-month Groceries,3400.00,Groceries,2026-08-20,UPI,Dairy and provisions
Festival Gift Purchases,4800.00,Shopping,2026-08-23,Credit Card,Festive season shopping
Physiotherapy Session,1500.00,Healthcare,2026-08-27,Cash,Back posture session
Mobile Postpaid Bill,799.00,Bills,2026-08-30,UPI,Cellular plan
Monthly Apartment Rent,22000.00,Rent,2026-09-01,Bank Transfer,Rent payment
Grocery Supplies,5500.00,Groceries,2026-09-03,UPI,Supermarket essentials
Electricity Bill,2600.00,Utilities,2026-09-05,UPI,Utility payment
Broadband Internet,1299.00,Bills,2026-09-06,Credit Card,Home internet
Metro Pass & Cabs,1700.00,Travel,2026-09-09,UPI,Daily travel
Weekend Restaurant Dinner,2300.00,Food,2026-09-12,Credit Card,Italian bistro dinner
Weekly Vegetables & Provisions,3500.00,Groceries,2026-09-16,UPI,Farmers market groceries
Autumn Wardrobe Sale,3800.00,Shopping,2026-09-18,Credit Card,Clothing and shoes
Streaming Services Bundle,899.00,Entertainment,2026-09-19,Credit Card,Digital entertainment
